COUNTRY,VARIABLE,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,Date,Value
"Gambia, The","Consumer price index (CPI) - Housing, water, electricity, gas and other fuels",Index,Monthly,Units,2012-01-01,61.0066044855711
"Gambia, The","Consumer price index (CPI) - Housing, water, electricity, gas and other fuels","Period average, Year-over-year (YOY) percent change",Monthly,Units,2012-01-01,4.918361898306769
"Gambia, The","Consumer price index (CPI) - Housing, water, electricity, gas and other fuels",Weight,Monthly,Units,2012-01-01,33.7305624824408
"Gambia, The",Consumer price index (CPI) - Food and non-alcoholic beverages,Weight,Monthly,Units,2012-01-01,547.362054277176
"Gambia, The",Consumer price index (CPI) - Food and non-alcoholic beverages,Index,Monthly,Units,2012-01-01,56.8765076027039
"Gambia, The",Consumer price index (CPI) - Food and non-alcoholic beverages,"Period average, Year-over-year (YOY) percent change",Monthly,Units,2012-01-01,5.456840003050313
"Gambia, The",Consumer price index (CPI) - Transport,Index,Monthly,Units,2012-01-01,64.5115317978927
"Gambia, The",Consumer price index (CPI) - Transport,"Period average, Year-over-year (YOY) percent change",Monthly,Units,2012-01-01,6.151637991045133
"Gambia, The",Consumer price index (CPI) - Transport,Weight,Monthly,Units,2012-01-01,43.6814387657867
"Gambia, The",Exchage Rate - Domestic currency per US Dollar,End-of-period (EoP),Monthly,Units,2012-01-01,30.5
"Gambia, The",Exchage Rate -Domestic currency per US Dollar,Period average,Monthly,Units,2012-01-01,30.7538467695093
"Gambia, The",Exchage Rate - US Dollar per domestic currency,End-of-period (EoP),Monthly,Units,2012-01-01,0.0327868852459016
"Gambia, The",Exchage Rate - US Dollar per domestic currency,Period average,Monthly,Units,2012-01-01,0.0325162574781195
"Gambia, The","Interest Rates - Monetary policy-related, Rate, Percent per annum",,Monthly,Units,2012-01-01,13.0
"Gambia, The","Interest Rates - Government securities: Treasury bills yields, Rate, Percent per annum",,Monthly,Units,2012-01-01,12.77
"Gambia, The","Interest Rates - Savings Rate, Percent per annum",,Monthly,Units,2012-01-01,8.0
"Gambia, The","Interest Rates - Deposit Rate, Percent per annum",,Monthly,Units,2012-01-01,11.5
"Gambia, The","Interest Rates - Lending Rate, Percent per annum",,Monthly,Units,2012-01-01,28.0
"China, People's Republic of",Consumer price index (CPI) - Transport,Index,Monthly,Units,2012-01-01,
"China, People's Republic of","Consumer price index (CPI) - Housing, water, electricity, gas and other fuels",Index,Monthly,Units,2012-01-01,
"China, People's Republic of",Consumer price index (CPI) - Food and non-alcoholic beverages,Index,Monthly,Units,2012-01-01,
"China, People's Republic of",Exchange Rate - Domestic currency per US Dollar,End-of-period (EoP),Monthly,Units,2012-01-01,6.3115
"China, People's Republic of",Exchange Rate - US Dollar per domestic currency,Period average,Monthly,Units,2012-01-01,0.1583330694448843
"China, People's Republic of",Exchange Rate - US Dollar per domestic currency,End-of-period (EoP),Monthly,Units,2012-01-01,0.1584409411391904
"China, People's Republic of",Exchange Rate - Domestic currency per US Dollar,Period average,Monthly,Units,2012-01-01,6.3158
"China, People's Republic of",Interest Rates,,Monthly,Units,2012-01-01,
"Netherlands, The",Consumer price index (CPI) - Transport,Index,Monthly,Units,2012-01-01,
"Netherlands, The",Consumer price index (CPI) - Food and non-alcoholic beverages,Index,Monthly,Units,2012-01-01,
"Netherlands, The","Consumer price index (CPI) - Housing, water, electricity, gas and other fuels",Index,Monthly,Units,2012-01-01,
"Netherlands, The","Consumer price index (CPI) - Housing, water, electricity, gas and other fuels",Weight,Monthly,Units,2012-01-01,251.46
"Netherlands, The",Consumer price index (CPI) - Food and non-alcoholic beverages,Weight,Monthly,Units,2012-01-01,112.63
"Netherlands, The",Consumer price index (CPI) - Transport,Weight,Monthly,Units,2012-01-01,114.14
"Netherlands, The",Exchange Rate,,,,2012-01-01,
"Netherlands, The","Interest Rates - Deposit Rate, Percent per annum",,Monthly,Units,2012-01-01,3.1591
"Netherlands, The","Interest Rates - Government bonds, Rate, Percent per annum",,Monthly,Units,2012-01-01,2.197
"Netherlands, The","Interest Rates - Lending Rate, Percent per annum",,Monthly,Units,2012-01-01,1.75
Russian Federation,Consumer price index (CPI) - Food and non-alcoholic beverages,Weight,Monthly,Units,2012-01-01,299.3209
Russian Federation,Consumer price index (CPI) - Food and non-alcoholic beverages,"Period average, Year-over-year (YOY) percent change",Monthly,Units,2012-01-01,0.614652621955533
Russian Federation,"Consumer price index (CPI) - Housing, water, electricity, gas and other fuels",Weight,Monthly,Units,2012-01-01,107.3282
Russian Federation,Consumer price index (CPI) - Transport,Weight,Monthly,Units,2012-01-01,135.222
Russian Federation,Consumer price index (CPI) - Transport,"Period average, Year-over-year (YOY) percent change",Monthly,Units,2012-01-01,6.558904088627739
Russian Federation,"Consumer price index (CPI) - Housing, water, electricity, gas and other fuels","Period average, Year-over-year (YOY) percent change",Monthly,Units,2012-01-01,3.203537676029157
Russian Federation,"Consumer price index (CPI) - Housing, water, electricity, gas and other fuels",Index,Monthly,Units,2012-01-01,112.3032
Russian Federation,Consumer price index (CPI) - Food and non-alcoholic beverages,Index,Monthly,Units,2012-01-01,110.9351
Russian Federation,Consumer price index (CPI) - Transport,Index,Monthly,Units,2012-01-01,111.4214
Russian Federation,Exchange Rate - US Dollar per domestic currency,End-of-period (EoP),Monthly,Units,2012-01-01,0.0329329780962762
Russian Federation,Exchange Rate - Domestic currency per US Dollar,End-of-period (EoP),Monthly,Units,2012-01-01,30.3647
Russian Federation,Exchange Rate - Domestic currency per US Dollar,Period average,Monthly,Units,2012-01-01,31.5095093616411
Russian Federation,Exchange Rate - US Dollar per domestic currency,Period average,Monthly,Units,2012-01-01,0.0317364510034985
